timestamp,cpu_percent,memory_percent,process_count,network_connections,established_connections,disk_read_mb,disk_write_mb,unique_process_names
2026-08-30T12:05:22.254416,9.8,39.2,346,82,9,0.0,0.094,285
2026-08-30T12:05:26.288192,11.2,39.2,343,83,9,0.0,0.965,285
2026-08-30T12:05:30.321863,8.9,39.1,343,83,9,0.0,0.117,285
2026-08-30T12:05:34.357252,13.2,39.5,343,87,10,0.0,0.062,285
2026-08-30T12:05:38.391764,9.9,39.5,343,87,10,0.0,0.168,285
2026-08-30T12:05:42.426739,11.5,39.5,337,86,10,0.0,0.973,279
2026-08-30T12:05:46.469585,10.7,39.6,337,87,10,0.012,0.371,279
2026-08-30T12:05:50.509660,10.8,39.4,337,89,10,0.0,0.0,279
2026-08-30T12:05:54.551336,9.7,39.5,337,87,10,0.0,1.469,279
2026-08-30T12:05:58.582891,9.3,39.5,337,89,10,0.0,0.184,279
2026-08-30T12:06:02.614730,11.6,39.9,337,86,10,0.0,0.273,279
2026-08-30T12:06:06.644738,13.2,40.0,337,86,10,0.0,0.039,279
2026-08-30T12:06:10.672307,8.3,40.5,337,88,9,0.176,1.156,279
2026-08-30T12:06:14.696740,13.6,40.6,337,88,11,0.23,0.215,279
2026-08-30T12:06:18.726194,15.8,40.3,337,91,12,0.012,0.523,279
2026-08-30T12:06:22.744602,22.4,48.0,338,106,16,32.504,3.57,279
2026-08-30T12:06:26.762919,16.4,51.1,346,109,17,10.688,6.895,285
2026-08-30T12:06:30.801693,13.1,49.7,346,108,17,0.039,0.359,285
2026-08-30T12:06:34.820007,10.0,48.1,345,108,17,2.008,0.227,285
2026-08-30T12:06:38.845784,12.4,47.7,345,104,15,0.0,3.508,285
2026-08-30T12:06:42.874469,11.5,47.0,345,105,15,0.0,13.125,285
2026-08-30T12:06:46.903159,6.5,40.3,344,104,14,0.051,1.211,286
2026-08-30T12:06:50.943347,10.0,35.0,342,103,14,0.0,1.98,285
2026-08-30T12:06:54.964515,12.5,35.6,342,104,15,0.0,1.293,285
2026-08-30T12:06:58.995709,6.5,35.4,342,99,14,0.0,2.422,285
2026-08-30T12:07:03.023720,4.0,35.4,340,99,14,0.0,0.723,283
2026-08-30T12:07:07.052249,4.3,35.4,340,99,14,0.0,0.41,283
2026-08-30T12:07:11.083418,4.7,35.4,340,99,14,0.0,2.074,283
2026-08-30T12:07:15.110141,4.1,35.3,340,99,14,0.0,0.16,283
2026-08-30T12:07:19.138082,5.0,35.2,339,99,14,0.773,3.035,282
2026-08-30T12:07:23.158646,3.6,35.2,339,89,14,0.0,0.152,282
2026-08-30T12:07:27.179290,4.3,35.2,339,87,14,0.0,0.434,282
2026-08-30T12:07:31.199633,4.3,35.2,339,88,14,0.0,0.145,282
2026-08-30T12:07:35.219654,3.9,35.2,339,87,14,0.0,0.168,282
